감독,평균관객수,흥행지수1,흥행지수2
에릭 틸,"29,710",0.001118461,-0.377535723
자비에 돌란,"29,660",0.001115634,-0.37757362
린 램지,"29,493",0.001106105,-0.377701405
존 루카스,"29,492",0.001106077,-0.377701786
스콧 무어,"29,492",0.001106077,-0.377701786
빌 홀더먼,"29,453",0.001103861,-0.377731495
스콧 쿠퍼,"29,354",0.001098237,-0.377806909
니콜라 바니에,"29,308",0.001095624,-0.37784195
니시고리 아츠시,"29,287",0.001094431,-0.377857947
마이클 수지,"29,283",0.001094204,-0.377860994
조 코니쉬,"29,236",0.001091534,-0.377896796
필립파 로소프,"28,884",0.001071538,-0.378164936
이민환,"28,679",0.001059893,-0.378321096
정귀호,"28,679",0.001059893,-0.378321096
석진욱,"28,679",0.001059893,-0.378321096
하비에르 페서,"28,626",0.001056882,-0.378361469
이상일,"28,567",0.001053531,-0.378406413
가우리 신드,"28,548",0.001052452,-0.378420887
리노 디살보,"28,520",0.001050861,-0.378442216
도이 노부히로,"28,492",0.001049242,-0.378463926
크리스찬 구드가스트,"28,477",0.001048418,-0.378474972
키시 세이지,"28,364",0.001041999,-0.37856105
오자운,"28,353",0.001041374,-0.37856943
김보경,"28,324",0.001039727,-0.378591521
라스 폰 트리에,"28,266",0.001036446,-0.378635512
사라 가브론,"28,220",0.001033819,-0.378670744
미즈시마 츠토무,"28,121",0.001028195,-0.378746158
올리버 스톤,"28,101",0.001027031,-0.378761774
빅터 아즈에프,"28,082",0.00102598,-0.378775866
마틴 코틱,"28,064",0.001024957,-0.378789578
톰 볼프,"28,048",0.001024048,-0.378801766
윤세영,"28,016",0.001022231,-0.378826142
김초희,"27,974",0.001019845,-0.378858136
이가라시 타쿠야,"27,944",0.00101814,-0.378880989
제이슨 레이 하우덴,"27,928",0.001017232,-0.378893177
주드 아패토우,"27,858",0.001013255,-0.3789465
루이스 프리에토,"27,854",0.001013028,-0.378949547
마티아스 마르지유,"27,623",0.000999906,-0.379125514
페드로 알모도바르,"27,569",0.000996838,-0.379166649
타위랍 스리우티윙스,"27,463",0.000990817,-0.379247395
맥스 조셉,"27,412",0.00098792,-0.379286245
폴 토마스 앤더슨,"27,403",0.000987408,-0.379293101
스벤 운터발트 주니어,"27,330",0.000983261,-0.379348709
리사 아주엘로스,"27,302",0.000981671,-0.379370038
데이빗 겔브,"27,279",0.000980364,-0.379387559
라맨 허,"27,257",0.000979115,-0.379404317
피오나 고든,"27,203",0.000976047,-0.379445452
도미니크 아벨,"27,203",0.000976047,-0.379445452
마이클 그랜다지,"27,167",0.000974002,-0.379472876
부르한 군,"27,128",0.000971786,-0.379502584
김정환,"27,046",0.000967128,-0.379565049
조나단 헨스라이,"27,037",0.000966617,-0.379571904
리테쉬 바트라,"26,982",0.000963464,-0.379614182
정량,"26,928",0.000960397,-0.379655317
빌 포래드,"26,812",0.000953836,-0.3797433
김민섭,"26,794",0.000952813,-0.379757012
카스텐 킬러리치,"26,774",0.000951677,-0.379772247
레오폴도 아귈라,"26,739",0.000949689,-0.379798909
가와세 나오미,"26,738",0.000949632,-0.37979967
우메츠 토모미,"26,593",0.000941395,-0.379910125
줄리 앤 로빈슨,"26,387",0.000929693,-0.380067048
타미 데이비스,"26,381",0.000929352,-0.380071618
이와사키 토모코,"26,278",0.000923501,-0.38015008
다니엘 벤마요,"26,262",0.000922592,-0.380162268
룬 스파안스,"26,185",0.000918218,-0.380220923
로버트 로렌즈,"26,152",0.000916343,-0.380246061
맥스 기와,"26,127",0.000914895,-0.380265486
다니아 파스퀴니,"26,127",0.000914895,-0.380265486
임효겸,"26,101",0.000913446,-0.380284911
마이클 도즈,"25,908",0.000902483,-0.38043193
아리 산델,"25,857",0.000899586,-0.38047078
스리람 라그하반,"25,833",0.000898222,-0.380489062
코바야시 유키,"25,815",0.0008972,-0.380502774
정혁기,"25,739",0.000892882,-0.380560668
말릭 벤젠룰,"25,694",0.000890326,-0.380594947
이동은,"25,652",0.00088794,-0.380626941
왕운비,"25,637",0.000887088,-0.380638367
폴 왕,"25,577",0.00088368,-0.380684073
마틴 캠벨,"25,567",0.000883112,-0.38069169
안드레이 갈랏,"25,556",0.000882487,-0.38070007
시라이시 코지,"25,531",0.000881067,-0.380719113
이정국,"25,449",0.000876409,-0.380781578
막심 파디브,"25,419",0.000874704,-0.38080443
테이트 테일러,"25,336",0.000869989,-0.380867656
갈리나 미클리노바,"25,278",0.000866695,-0.380911839
박재석,"25,261",0.000865701,-0.380925169
사카이 카즈오,"25,109",0.000857094,-0.381040576
김재환,"24,883",0.000844275,-0.381212479
차성덕,"24,823",0.000840848,-0.381258439
이종현,"24,810",0.000840109,-0.381268342
박시후,"24,810",0.000840109,-0.381268342
리카르도 아나이즈,"24,799",0.000839484,-0.381276721
마이크 컨켈,"24,799",0.000839484,-0.381276721
라울 가르시아,"24,799",0.000839484,-0.381276721
딘 테일러,"24,787",0.000838803,-0.381285862
조나단 데이턴,"24,752",0.000836815,-0.381312524
발레리 페리스,"24,752",0.000836815,-0.381312524
이라 카르페란,"24,658",0.000831475,-0.381384129
야쿱 론스키,"24,658",0.000831475,-0.381384129
타니구치 고로,"24,640",0.000830452,-0.381397841
라이언 머피,"24,635",0.000830168,-0.38140165
벤 휘틀리,"24,600",0.00082818,-0.381428311
타무라 코타로,"24,571",0.000826533,-0.381450402
로저 스포티스우드,"24,466",0.000820568,-0.381530387
이성강,"24,451",0.000819716,-0.381541813
아라키 테츠로,"24,450",0.000819659,-0.381542575
요시다 다이하치,"24,381",0.000815739,-0.381595136
아베 노리유키,"24,380",0.000815683,-0.381595898
조하네스 로버츠,"24,379",0.000815626,-0.38159666
정재은,"24,377",0.000815512,-0.381598183
케빈 맥도널드,"24,329",0.000812804,-0.381634494
빅터 라키소프,"24,319",0.000812217,-0.381642365
허버트 베일란드,"24,293",0.000810712,-0.381662552
조현훈,"24,272",0.000809548,-0.381678168
백창주,"24,163",0.000803356,-0.3817612
마원,"24,111",0.000800402,-0.381800811
동대가,"24,111",0.000800402,-0.381800811
베넷 밀러,"24,083",0.000798811,-0.38182214
매니 에르난데스,"24,079",0.000798555,-0.381825568
장 피에르 다르덴,"24,063",0.000797661,-0.381837566
뤽 다르덴,"24,063",0.000797661,-0.381837566
리처드 라니,"24,019",0.000795176,-0.381870893
에두와르도 슐츠,"23,981",0.000793017,-0.38189984
리차드 이어,"23,933",0.00079029,-0.381936404
김진수,"23,926",0.000789893,-0.381941737
하코타 유코,"23,810",0.000783303,-0.382030101
다닐라 코즈로브스키,"23,773",0.000781201,-0.382058286
구봉회,"23,721",0.000778247,-0.382097897
송경용,"23,711",0.000777679,-0.382105515
송창용,"23,711",0.000777679,-0.382105515
존 리 행콕,"23,674",0.000775577,-0.3821337
저스틴 리어든,"23,597",0.000771203,-0.382192355
시오타니 나오요시,"23,586",0.000770578,-0.382200735
이현주,"23,555",0.000768817,-0.382224349
에릭 넬슨,"23,530",0.000767397,-0.382243393
안드레아 아놀드,"23,509",0.000766204,-0.38225939
타케모토 야스히로,"23,496",0.000765466,-0.382269293
폴 버호벤,"23,482",0.00076467,-0.382279958
안드레 외브레달,"23,467",0.000763818,-0.382291384
존 스톡웰,"23,462",0.000763534,-0.382295193
시몬 베호벤,"23,450",0.000762853,-0.382304334
정다운,"23,446",0.000762625,-0.382307381
마이클 알메레이다,"23,441",0.000762341,-0.38231119
스티븐 달드리,"23,416",0.000760893,-0.382330615
데니스 체르노프,"23,407",0.000760429,-0.382336836
이창원,"23,404",0.00076024,-0.382339375
권성모,"23,404",0.00076024,-0.382339375
조병옥,"23,390",0.000759444,-0.382350039
매티 벡커맨,"23,312",0.000755013,-0.382409457
안토닌 보드리,"23,247",0.000751321,-0.382458971
구스타보 타레토,"23,233",0.000750526,-0.382469636
라즐로 네메스,"23,148",0.000745697,-0.382534385
김재희,"23,133",0.000744845,-0.382545812
안재훈,"23,088",0.000742289,-0.382580091
히라오 타카유키,"23,057",0.000740528,-0.382603705
